start,end,Date and Time,"Name of the Bus Stop (as displayed on the shelter, if no info is available write the commonly known name)",Survey Location,_Survey Location_latitude,_Survey Location_longitude,_Survey Location_altitude,_Survey Location_precision,"If Location field is not working, please enter coordinates from google maps or paste the location URL",Type of Bus Stop,Condition of Bus Shelter,How is the bus stop positioned relative to the road?,"How is the bus stop positioned relative to the road?/Set back from the road – against a wall, compound, or building edge",How is the bus stop positioned relative to the road?/On the road edge / footpath edge – directly adjacent to traffic,How is the bus stop positioned relative to the road?/The road/footpath is too narrow ,Relationship between Bus Stop and Pedestrians,Is there space behind the bus shelter for pedestrians to walk/wheelchair to move freely?,Is there space between the bus shelter and the road for pedestrians to walk/wheelchair to move freely? ,"Can pedestrians/wheelchair users move past the bus stop on the footpath, without having to step down on the road? ",Is the space behind the bus shelter usable?,How many bus shelters are placed close to each other?,Where do buses typically stop? ,Where do buses typically stop? /At the bus stop – buses pull up to the shelter/marked stop,Where do buses typically stop? /Away from the bus stop – buses stop before or beyond the shelter/marked location,Where do buses typically stop? /Bus stop not clearly marked,Where do buses typically stop? /Unsure / not observed,How far away from the kerb/Bus stop platform does the bus stop?,Tick all access features present at this bus stop,Tick all access features present at this bus stop/Footpath available to reach the bus stop from both directions,"Tick all access features present at this bus stop/Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc",Tick all access features present at this bus stop/Ramp for wheelchair users to access the bus stop,"Tick all access features present at this bus stop/Ramp is in usable condition (not too steep, not broken, nor blocked)",Tick all access features present at this bus stop/Tactile paving for visually impaired users,Tick all access features present at this bus stop/Pedestrian crossing at/close to the bus stop to cross the road?,Tick all access features present at this bus stop/None of the above,Check this box if the bus stop's kerb is higher than 15cms or has steps to access ,Is the bus stop area free of encroachments?,Is there evidence of water-logging or poor drainage around the stop?," How safe does this bus stop feel, particularly at night?", Is the bus stop big enough for the number of people who typically wait here?,Does the bus stop have a roof that shelters people from rain?,Is there adequate shade during the day for people waiting?,Is there adequate lighting at the bus stop during the night?,"If seated at the bus stop, can you clearly see an approaching bus?",Is the seating provided comfortable?,Is the name of the bus stop clearly displayed?,Is bus route information displayed at the stop?,Tick all amenities present at this bus stop,Tick all amenities present at this bus stop/Seating / bench,Tick all amenities present at this bus stop/Sufficient seating for the number of people typically waiting,Tick all amenities present at this bus stop/Dustbin / waste bin,Tick all amenities present at this bus stop/Drinking water (tap or dispenser),Tick all amenities present at this bus stop/Public toilet nearby (within eyesight),Tick all amenities present at this bus stop/CCTV camera,Tick all amenities present at this bus stop/Digital information boards with real time arrival information and service alerts,Tick all amenities present at this bus stop/None of the Above,What is the primary land use or activity near this bus stop?,Does the bus shelter carry advertisements?,Any other observations about this bus stop?,Top 1–2 improvements you would recommend for this stop,Photo of Bus Stop Front,Photo of Bus Stop Front_URL,Photo of Bus Stop from Side ,Photo of Bus Stop from Side _URL,Photo of any other key observation 1 ,Photo of any other key observation 1 _URL,Photo of any other key observation 2 ,Photo of any other key observation 2 _URL,id,uuid,submission_time,_validation_status,notes,status,version,tags,meta/rootUuid,index,city,source_form,latitude,longitude,coordinate_source,location_flag,waiting_capacity_problem,roof_problem,shade_problem,shelter_problem_score,night_safety_problem,lighting_problem,safety_problem_score,insufficient_seating_problem,uncomfortable_seating_problem,bus_visibility_problem,comfort_problem_score,road_access_problem,road_space_problem,high_kerb_problem,road_interface_score,drainage_problem,environment_encroachment_problem,environment_risk_score,missing_stop_name_problem,poor_stop_name_problem,missing_route_information_problem,poor_route_information_problem,passenger_information_score,stop_name_problem,route_information_problem,information_problem_count,information_quality,dustbin__waste_bin,drinking_water_tap_or_dispenser,public_toilet_nearby_within_eyesight,cctv_camera,digital_information_boards_with_real_time_arrival_information_and_service_alerts,amenity_deficiency_score,land_use_group,combined_problem_score,master_priority_score,priority_rank
2026-06-08T06:20:57.622000+05:30,2026-06-08T06:42:13.228000+05:30,2026-06-08T06:24:00+05:30,KAMARAJAR SALAI BUS STOP,13.0437948 80.2092505 -61.10000228881836 23.39699935913086,13.0437948,80.2092505,-61.10000229,23.39699936,,Other Metal Bus Shelter (Other than Stainless Steel),Unclean/Poorly Maintained,,0,1,0,,0,0,0,,2,Unsure / not observed,0,0,0,1,,Footpath available to reach the bus stop from both directions,1,0,0,0,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",Unsure,Unable to assess (audit done only in daytime),Unsure,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Partial – some shade but insufficient,Unsure / Not observed,Yes – clear sightline to see the approaching buses,No seating available,"Yes – but faded, small, or difficult to read",No information displayed at all,None of the Above,0,0,0,0,0,0,0,1,"Mixed Use - A mix of commercial/residential/office, etc",Yes – advertisements present but passenger information is still clearly visible,The footpath is in a really bad condition.,"Revamp the bus stop structure: the footpath, shade, add seats. Maintain cleanliness.",24685-6_42_2.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773487569/attachments/attBnvCccjZUPtmoWQmHSBJT/,24686-6_42_8.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773487569/attachments/attTwgZ2hyniQimgKh89LYCb/,,,,,773487569,f71e4273-ac4e-43bd-a71d-706a7c1e4da6,2026-06-08T06:42:17+05:30,,,submitted_via_web,v9nnSVBz8Dj2TFQddrtot2,,uuid:f71e4273-ac4e-43bd-a71d-706a7c1e4da6,3,Chennai,Bengaluru,13.0437948,80.2092505,device_gps,OK,False,False,True,1,False,False,0,True,True,False,2,True,True,,2,False,True,1,False,True,True,False,2,True,True,2,Poor,True,True,True,True,True,5,Mixed Use,4,8,14
2026-06-10T07:30:33.831000+05:30,2026-06-10T07:36:44.757000+05:30,2026-06-10T07:31:00+05:30,[surveyor name removed],12.905701 80.207407 -78.60000610351562 42.11600112915039,12.905701,80.207407,-78.6000061,42.11600113,,Other,Unclean/Poorly Maintained,,1,0,0,,0,0,0,,1 - this is a standalone shelter ,Bus stop not clearly marked,0,0,1,0,,Footpath available to reach the bus stop from both directions,1,0,0,0,0,0,0,," Yes – fully accessible, no obstructions",No – area appears well-drained,"Safe – well-lit, visible, and active surroundings",Yes – adequate space for passengers,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",No – exposed to full sun,No – inadequate or no lighting at all,Yes – clear sightline to see the approaching buses,No - the seating is too small to sit comfortably ,No – name is missing,No information displayed at all,Seating / bench,1,0,0,0,0,0,0,0,"Mostly Institutional - Schools, Hospitals, Govt. Offices, etc",Yes – advertisements dominate; passenger information is secondary,Unclean,"Lighting, information and proper shed",1000491141-7_36_26.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775714603/attachments/att3stS8i897wtuvEMTxoNqQ/,1000491142-7_36_33.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775714603/attachments/attkRCA2PzucbVFswnDNRHWg/,1000491143-7_36_38.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775714603/attachments/attjKHC2TPeMY2FeX2tGLMb2/,,,775714603,472c389d-87c3-44cf-aa83-add31c6e6212,2026-06-10T07:36:50+05:30,,,submitted_via_web,vnyH9EFV4wr6YZ5xP9XFKr,,uuid:472c389d-87c3-44cf-aa83-add31c6e6212,3,Chennai,Chennai,12.905701,80.207407,device_gps,OK,False,False,True,1,False,False,0,True,True,False,2,True,True,,2,False,True,1,True,False,True,False,2,True,True,2,Poor,True,True,True,True,True,5,Institutional,4,8,14
2026-06-10T07:38:51.187000+05:30,2026-06-10T07:43:06.806000+05:30,2026-06-10T07:39:00+05:30,[surveyor name removed],12.905413 80.207782 -78.60000610351562 20.437999725341797,12.905413,80.207782,-78.6000061,20.43799973,,Other,Satisfactory – minor wear/dusty but usable,,1,0,0,,0,0,0,,1 - this is a standalone shelter ,Away from the bus stop – buses stop before or beyond the shelter/marked location,0,1,0,0,,Footpath available to reach the bus stop from both directions,1,0,0,0,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",No – area appears well-drained,"Unsafe – poorly lit, isolated, or has a history of feeling threatening",No – overcrowded or high number of people standing on the road,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Partial – some shade but insufficient,No – inadequate or no lighting at all,Yes – clear sightline to see the approaching buses,No - the seating is too small to sit comfortably ,No – name is missing,No information displayed at all,Sufficient seating for the number of people typically waiting,0,1,0,0,0,0,0,0,"Mostly Institutional - Schools, Hospitals, Govt. Offices, etc",No advertisements,"Poor seating space, no information",Information of buses and routes,1000491146-7_42_53.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775716179/attachments/attHjwUoWkrQC6mSZKuQG7Sj/,1000491145-7_42_56.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775716179/attachments/att8VBPu3S2hzotbYVWyrHqf/,1000491148-7_43_1.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775716179/attachments/attdBi9heurgVj3pvLUv46Ki/,,,775716179,1082286d-12cc-4392-8022-4c405863a0e7,2026-06-10T07:43:12+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:1082286d-12cc-4392-8022-4c405863a0e7,4,Chennai,Chennai,12.905413,80.207782,device_gps,OK,False,False,True,1,False,False,0,False,True,False,1,True,True,,2,False,True,1,True,False,True,False,2,True,True,2,Poor,True,True,True,True,True,5,Institutional,4,7,42
2026-06-11T10:08:27.380000+05:30,2026-06-11T10:12:12.500000+05:30,2026-06-11T10:08:00+05:30,[surveyor name removed],12.90191 80.217586 -82.88473510742188 9.177000045776367,12.90191,80.217586,-82.88473511,9.177000046,,Stainless Steel Bus Shelter,Unclean/Poorly Maintained,,0,1,0,,1,0,0,No - It's obstructed due to encroachment ,2,Away from the bus stop – buses stop before or beyond the shelter/marked location,0,1,0,0,,None of the above,0,0,0,0,0,0,1,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",No – area appears well-drained,"Unsafe – poorly lit, isolated, or has a history of feeling threatening",No – overcrowded or high number of people standing on the road,Yes – roof is intact and effective,Partial – some shade but insufficient,No – inadequate or no lighting at all,Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",No – name is missing,No information displayed at all,Seating / bench,1,0,0,0,0,0,0,0,"Mostly commercial - Office buildings, malls, large stores, etc",Yes – advertisements dominate; passenger information is secondary,Lot of encroachments,Remove all encroachments,1000492155-10_11_35.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777128475/attachments/attbigbwWh598i7uA8B5amEe/,1000492156-10_11_44.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777128475/attachments/attmyYxdzdWQZe2v5BLe4Ldq/,1000492158-10_11_54.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777128475/attachments/attpffnPU6dWb7RQoasQ8zCB/,1000492156-10_12_2.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777128475/attachments/attWzY9uWzZBs4Faui5JnX9o/,777128475,9c691ff8-824a-4c90-8be3-e659aeb6383f,2026-06-11T10:12:19+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:9c691ff8-824a-4c90-8be3-e659aeb6383f,8,Chennai,Chennai,12.90191,80.217586,device_gps,OK,False,False,True,1,False,False,0,True,False,False,1,True,True,,2,False,True,1,True,False,True,False,2,True,True,2,Poor,True,True,True,True,True,5,Commercial,4,7,42
2026-06-12T12:24:13.195000+05:30,2026-06-12T12:41:31.901000+05:30,2026-06-12T12:24:00+05:30,Pallikarnai Bus Stop,,,,,,https://maps.app.goo.gl/9orZdXAqVZegub578?g_st=ic,Stainless Steel Bus Shelter,Satisfactory – minor wear/dusty but usable,,0,1,1,,0,0,0,,1 - this is a standalone shelter ,At the bus stop – buses pull up to the shelter/marked stop Away from the bus stop – buses stop before or beyond the shelter/marked location,1,1,0,0,,None of the above,0,0,0,0,0,0,1,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material","Yes – signs of standing water, algae, or drainage issues visible","Somewhat safe – some concerns (e.g., poor visibility, isolated location)",Yes – adequate space for passengers,Yes – roof is intact and effective,Partial – some shade but insufficient,"Yes – lit by nearby street lights, shop fronts, or advertisement boards",Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",No – name is missing,"Yes – but information is unclear, faded, or partially missing",Seating / bench Dustbin / waste bin,1,0,1,0,0,0,0,0,"Mixed Use - A mix of commercial/residential/office, etc",Yes – advertisements dominate; passenger information is secondary,Vendors tend to occupy shady area in the stop that does not have seating. The stop is located on a road that has space for walking but is still sandy and not tar road. Not friendly for elderly or disabled to reach.,"Better footpath, improvement of road the stop is located on, drinking water facilities. Less ad domination and more bus stop information as this is a significant point in the route.",IMG_0104-12_41_13.jpeg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778402631/attachments/attP6YfRgJHmQrHiHGsVzkqV/,IMG_0103-12_41_26.jpeg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778402631/attachments/attKwvWQ64PzsqGCo6dURgmF/,,,,,778402631,77eb61e8-7b71-40ca-88c0-3365623030e6,2026-06-12T12:41:36+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:77eb61e8-7b71-40ca-88c0-3365623030e6,10,Chennai,Chennai,12.933924,80.204035,gmaps_link,OK,False,False,True,1,False,False,0,True,False,False,1,True,True,,2,True,True,2,True,False,False,True,2,True,True,2,Poor,False,True,True,True,True,4,Mixed Use,5,8,14
2026-06-12T15:44:07.932000+05:30,2026-06-12T16:12:35.634000+05:30,2026-06-12T15:58:00+05:30,M.P. தேவதாஸ் உயர்நிலைப்பள்ளி,13.118555 80.259021 -67.80000305175781 19.15999984741211,13.118555,80.259021,-67.80000305,19.15999985,,Stainless Steel Bus Shelter,Satisfactory – minor wear/dusty but usable,,1,0,0,,0,0,0,,1 - this is a standalone shelter ,Away from the bus stop – buses stop before or beyond the shelter/marked location Bus stop not clearly marked,0,1,1,0,,Footpath available to reach the bus stop from both directions Pedestrian crossing at/close to the bus stop to cross the road?,1,0,0,0,0,1,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material","Yes – signs of standing water, algae, or drainage issues visible","Safe – well-lit, visible, and active surroundings",Yes – adequate space for passengers,No – The roof is too damaged or broken to provide shelter,Partial – some shade but insufficient,"Yes – lit by nearby street lights, shop fronts, or advertisement boards",Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",Yes – name is prominently visible and legible,Yes – route list is prominently displayed and appears current,Seating / bench Dustbin / waste bin Digital information boards with real time arrival information and service alerts,1,0,1,0,0,0,1,0,"Mostly commercial - Retail shops. restaurants, cafes, markets, etc",Yes – advertisements present but passenger information is still clearly visible,Restroom,,17812609178297030526626331874647-16_12_14.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778607798/attachments/attevAf4mEhSbyHoP5HXvk5W/,1781260945345383672026682704449-16_12_31.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778607798/attachments/attJZhxcZm6qFrZ8iYvLnVYf/,,,,,778607798,649c80ce-ae6b-4f6e-8268-0080fe796376,2026-06-12T16:12:40+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:649c80ce-ae6b-4f6e-8268-0080fe796376,14,Chennai,Chennai,13.118555,80.259021,device_gps,OK,False,True,True,2,False,False,0,True,False,False,1,True,True,,2,True,True,2,False,False,False,False,0,False,False,0,Good,False,True,True,True,False,3,Commercial,6,7,42
2026-06-12T16:12:36.095000+05:30,2026-06-12T16:30:44.888000+05:30,2026-06-12T16:17:00+05:30,MKB  Nagar,13.122992 80.260177 -66 18.305999755859375,13.122992,80.260177,-66.0,18.30599976,,Stainless Steel Bus Shelter,Unclean/Poorly Maintained,,1,0,0,,0,0,0,,2,Bus stop not clearly marked,0,0,1,0,,"Footpath available to reach the bus stop from both directions Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc",1,1,0,0,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material","Yes – signs of standing water, algae, or drainage issues visible","Somewhat safe – some concerns (e.g., poor visibility, isolated location)",No – overcrowded or high number of people standing on the road,No – The roof is too damaged or broken to provide shelter,Yes - from both bus shelter AND trees,Partially – some light but insufficient,Yes – clear sightline to see the approaching buses,No - the seating is too small to sit comfortably ,Yes – name is prominently visible and legible,Yes – but information seems outdated or unreliable,Seating / bench Drinking water (tap or dispenser),1,0,0,1,0,0,0,0,"Mostly commercial - Office buildings, malls, large stores, etc",No advertisements,No,No,1781261978225371651329052745044-16_29_56.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778626009/attachments/attmzazXYhQ5KHNnvciHM38S/,17812620026352279031727349058771-16_30_9.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778626009/attachments/attZLqShRfGhGUe6AQUMMDkq/,1781262014301461939349204761809-16_30_29.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778626009/attachments/attG5ZvmH6QzcipNF3gaDDdy/,,,778626009,fbcc89e1-aea4-4f80-a64b-3e8c492bb8bd,2026-06-12T16:30:49+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:fbcc89e1-aea4-4f80-a64b-3e8c492bb8bd,15,Chennai,Chennai,13.122992,80.260177,device_gps,OK,False,True,False,1,False,False,0,True,True,False,2,True,True,,2,True,True,2,False,False,False,True,1,False,True,1,Needs improvement,True,False,True,True,True,4,Commercial,5,8,14
2026-06-12T16:30:45.107000+05:30,2026-06-12T16:43:55.323000+05:30,2026-06-12T16:31:00+05:30,MKB POLICE STATION,13.122954 80.259893 -66.30000305175781 22.775999069213867,13.122954,80.259893,-66.30000305,22.77599907,,Stainless Steel Bus Shelter,Satisfactory – minor wear/dusty but usable,,1,0,0,,0,0,0,,1 - this is a standalone shelter ,Away from the bus stop – buses stop before or beyond the shelter/marked location Bus stop not clearly marked,0,1,1,0,,"Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc",0,1,0,0,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material","Yes – signs of standing water, algae, or drainage issues visible","Somewhat safe – some concerns (e.g., poor visibility, isolated location)",No – overcrowded or high number of people standing on the road,No – The roof is too damaged or broken to provide shelter,Partial – some shade but insufficient,Partially – some light but insufficient,Yes – clear sightline to see the approaching buses,No - the seating is too small to sit comfortably ,Yes – name is prominently visible and legible,"Yes – but information is unclear, faded, or partially missing",Seating / bench Dustbin / waste bin,1,0,1,0,0,0,0,0,"Mostly commercial - Retail shops. restaurants, cafes, markets, etc",No advertisements,No,No,17812621711484486636681528049288-16_33_42.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778640986/attachments/att3G2XGpjtUFZYKLVKaQsxF/,17812622709823943862660719400011-16_34_59.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778640986/attachments/attRnFRsoLTxfsXJ6tdFvVnW/,17812628021415691412228638992309-16_43_29.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778640986/attachments/attbmvKbmzpjwgiTxL3CoM5F/,17812628191816959120179781707640-16_43_49.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/778640986/attachments/att2rbr4NCUfu892fNMJUaom/,778640986,750d5848-4db6-437a-bc07-23ffbce50f29,2026-06-12T16:44:00+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:750d5848-4db6-437a-bc07-23ffbce50f29,16,Chennai,Chennai,13.122954,80.259893,device_gps,OK,False,True,True,2,False,False,0,True,True,False,2,True,True,,2,True,True,2,False,False,False,True,1,False,True,1,Needs improvement,False,True,True,True,True,4,Commercial,6,9,7
2026-06-12T17:00:39.002000+05:30,2026-06-13T15:25:21.572000+05:30,2026-06-13T15:25:00+05:30,Moolakadai bus stand,13.128915 80.24108 -66.80000305175781 4.199999809265137,13.128915,80.24108,-66.80000305,4.199999809,,Stainless Steel Bus Shelter, Clean and Well Maintained,,1,0,0,,1,0,1,No - It's obstructed due to encroachment ,2,Away from the bus stop – buses stop before or beyond the shelter/marked location,0,1,0,0,,"Ramp is in usable condition (not too steep, not broken, nor blocked)",0,0,0,1,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",No – area appears well-drained,"Safe – well-lit, visible, and active surroundings",Yes – adequate space for passengers,Yes – roof is intact and effective,Partial – some shade but insufficient,Unsure / Not observed,Yes – clear sightline to see the approaching buses,No - the seating is too small to sit comfortably ,"Yes – but faded, small, or difficult to read",Yes – but information seems outdated or unreliable,Dustbin / waste bin,0,0,1,0,0,0,0,0,"Mostly Institutional - Schools, Hospitals, Govt. Offices, etc",Yes – advertisements present but passenger information is still clearly visible,No,No,1000170054-15_24_3.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779462152/attachments/attdUHLnmNqxUEQqxcJhVX3X/,1000170055-15_24_7.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779462152/attachments/attwvY5ZaevbrhZ6YnUv6z5e/,1000170056-15_24_12.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779462152/attachments/attSard5UBUwSwCatpJTUVpk/,1000170057-15_24_17.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779462152/attachments/attHS8EGPaXeMd3yKC5koPh6/,779462152,1d4fef0c-d658-460b-af04-61fcf24f1cb0,2026-06-13T15:25:27+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:1d4fef0c-d658-460b-af04-61fcf24f1cb0,18,Chennai,Chennai,13.128915,80.24108,device_gps,OK,False,False,True,1,False,False,0,True,True,False,2,False,True,,1,False,True,1,False,True,False,True,2,True,True,2,Poor,False,True,True,True,True,4,Institutional,3,7,42
2026-06-13T15:25:21.807000+05:30,2026-06-13T15:32:17.776000+05:30,2026-06-13T15:32:00+05:30,Moolakadai bus stand,13.129143 80.241358 -65.70000457763672 4.599999904632568,13.129143,80.241358,-65.70000458,4.599999905,,Stainless Steel Bus Shelter,Satisfactory – minor wear/dusty but usable,,1,0,0,,1,0,1,No - It's obstructed due to encroachment ,2,Away from the bus stop – buses stop before or beyond the shelter/marked location,0,1,0,0,,Ramp for wheelchair users to access the bus stop,0,0,1,0,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",No – area appears well-drained,"Somewhat safe – some concerns (e.g., poor visibility, isolated location)",No – overcrowded or high number of people standing on the road,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Yes - sufficient shade from surrounding trees,"Yes – lit by nearby street lights, shop fronts, or advertisement boards","No – sightline is blocked (by structure, advertisement boards, trees, or parked vehicles)",No - the seating is too slippery,No – name is missing,Yes – but information seems outdated or unreliable,Seating / bench,1,0,0,0,0,0,0,0,"Mostly Institutional - Schools, Hospitals, Govt. Offices, etc",Yes – advertisements dominate; passenger information is secondary,No,No,1000170058-15_31_44.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779467520/attachments/att8yBTX4tuH6NMqKnvQ4s7V/,1000170059-15_31_50.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779467520/attachments/atttXwbRJvT74H7e6wCv9Zi9/,1000170060-15_31_54.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779467520/attachments/attDcQg6FhhWsJ4JzbVXa3eL/,1000170061-15_32_3.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779467520/attachments/attru5xiZxAnwnyZHtHtMYnL/,779467520,d8e783a5-3c34-4676-8b4c-b3d7dd31ddaf,2026-06-13T15:32:20+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:d8e783a5-3c34-4676-8b4c-b3d7dd31ddaf,19,Chennai,Chennai,13.129143,80.241358,device_gps,OK,False,False,False,0,False,False,0,True,True,True,3,False,True,,1,False,True,1,True,False,False,True,2,True,True,2,Poor,True,True,True,True,True,5,Institutional,2,7,42
2026-06-13T15:32:18.094000+05:30,2026-06-13T15:39:35.274000+05:30,2026-06-13T15:39:00+05:30,Moolakadai bus stand 2,13.128582 80.241889 -65.30000305175781 27.04400062561035,13.128582,80.241889,-65.30000305,27.04400063,,Stainless Steel Bus Shelter,Satisfactory – minor wear/dusty but usable,,1,0,0,,1,0,1,No - It's obstructed due to encroachment ,2,Bus stop not clearly marked,0,0,1,0,,Footpath available to reach the bus stop from both directions,1,0,0,0,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material","Yes – signs of standing water, algae, or drainage issues visible","Safe – well-lit, visible, and active surroundings",No – overcrowded or high number of people standing on the road,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Partial – some shade but insufficient,Partially – some light but insufficient,Yes – clear sightline to see the approaching buses,No - the seating is too high ,"Yes – but faded, small, or difficult to read",Yes – but information seems outdated or unreliable,Seating / bench,1,0,0,0,0,0,0,0,"Mostly Residential - Housing, Apartments, etc",Yes – advertisements present but passenger information is still clearly visible,No,No,1000170064-15_38_55.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779473206/attachments/attJtR4phdxcjyPtAds6CTfG/,1000170065-15_39_3.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779473206/attachments/attbs8fgVGtRPvExReJ9VAn3/,1000170066-15_39_8.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779473206/attachments/attWbs8qRa9qBHRKfdP2Lcmn/,1000170067-15_39_11.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/779473206/attachments/attDtdoL369QxdEsPMoN7xMm/,779473206,a8d8446f-c841-407c-98b1-4da976c0b44f,2026-06-13T15:39:38+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:a8d8446f-c841-407c-98b1-4da976c0b44f,20,Chennai,Chennai,13.128582,80.241889,device_gps,OK,False,False,True,1,False,False,0,True,True,False,2,False,True,,1,True,True,2,False,True,False,True,2,True,True,2,Poor,True,True,True,True,True,5,Residential,4,8,14
